word,lemma,pos,pos_ko,phonetic,definition_en,translation_ko,example_en,context_sentence,cefr_level,frequency_score,is_b2_plus,derivatives
geol,geol,NOUN,명사,,,,,"3.
Speaking after a high-level policy consultation at the National Assembly on Monday, ruling party lawmaker Ahn Do-geol said Seoul is engaged in active diplomatic negotiations with key energy producers, including Saudi Arabia, Oman and Algeria, with special envoys led by the foreign ministry among the options under consideration.",C2,7.0101,False,
refiners,refiner,NOUN,명사,,one whose work is to refine a specific thing,,he was a sugar refiner,"To address immediate supply concerns, authorities are looking to release strategic petroleum reserves, with state-held oil to be supplied first to domestic refiners and later swapped out once new imports arrive.",C1,6.719,False,
reroute,reroute,VERB,동사,,To change the route taken by something.,,We'll have to reroute some buses to avoid the construction work.,"The government is also weighing up plans to reroute South Korean-flagged tankers through the Red Sea, with up to five vessels potentially directed to Saudi Arabia's port of Yanbu.",C1,6.5901,False,
finalized,finalize,VERB,동사,/ˈfaɪnəlaɪz/,make final; put the last touches on; put into final form,,let's finalize the proposal,"The proposal outlines a two-stage plan, starting with an immediate ceasefire, followed by a comprehensive agreement to be finalized within 
15 to 20 days, reportedly pushed by Pakistan.",C1,6.1101,False,finalise|nail down|settle
hoon,hoon,NOUN,명사,,A worthless person; a hooligan or lout.,,,Welcome to Arirang News This is Park Kee hoon,C1,6.0101,False,
Presiding,preside,VERB,동사,,act as president,,preside over companies and corporations,"Presiding over a Cabinet-slash-emergency economic meeting at the Blue House on Monday, Lee urged his Cabinet to, number one, diversify energy supply routes and, number two, reduce the country's heavy dependence on fossil fuels.",C1,6.0101,False,
lawmaker,lawmaker,NOUN,명사,,a maker of laws; someone who gives a code of laws,,,"3.
Speaking after a high-level policy consultation at the National Assembly on Monday, ruling party lawmaker Ahn Do-geol said Seoul is engaged in active diplomatic negotiations with key energy producers, including Saudi Arabia, Oman and Algeria, with special envoys led by the foreign ministry among the options under consideration.",B2,5.9318,False,lawgiver
mediating,mediate,VERB,동사,/ˈmidi.ət/,act between parties with a view to reconciling differences,,He interceded in the family dispute,"Pakistan’s army chief has been mediating through the night, 
directly contacting U.S. Vice President J.D. Vance, 
Special Envoy Steve Witkoff, and Iranian Foreign Minister Abbas Araqchi.",B2,5.8697,False,arbitrate|in-between|intercede|intermediate|liaise|middle
diversify,diversify,VERB,동사,,make (more) diverse,,diversify a course of study,"Presiding over a Cabinet-slash-emergency economic meeting at the Blue House on Monday, Lee urged his Cabinet to, number one, diversify energy supply routes and, number two, reduce the country's heavy dependence on fossil fuels.",B2,5.8386,False,branch out|broaden|radiate
ceasefire,ceasefire,NOUN,명사,,"In warfare, an agreed end to hostilities for a specific purpose. (Typically only temporary).",,The rebels agreed to a ceasefire while the peace talks were underway.,"The United States and Iran have both received a framework 
for a possible ceasefire agreement, according to Reuters, 
raising hopes for a pause in hostilities.",B2,5.6799,True,
designated,designate,VERB,동사,/ˈdɛzɪɡ.neɪt/,assign a name or title to,,to designate the boundaries of a country,"Since its establishment more than 60 years ago, the day was designated 
as a paid holiday in 1994 for most workers.",B2,5.6308,False,assign|delegate|denominate|depute|destine|doom|fate|indicate|intend|point|show|specify
reopen,reopen,VERB,동사,,open again or anew,,They reopened the theater,"Iran has rejected the proposal, with an official telling Reuters on Monday that Tehran will not reopen the critical Strait of Hormuz in exchange 
for a merely ""temporary"" ceasefire.",B2,5.58,False,
tankers,tanker,NOUN,명사,,a cargo ship designed to carry crude oil in bulk,,,"The government says it will resume Red Sea transits by oil tankers that meet ""certain conditions,"" with the foreign minister saying the likelihood of the route being completely blocked or directly targeted remains low.",B2,5.5607,False,oil tanker|oiler|tank driver|tank ship
envoys,envoy,NOUN,명사,/ˈɛn.vɔɪ/,a diplomat having less authority than an ambassador,,,"3.
Speaking after a high-level policy consultation at the National Assembly on Monday, ruling party lawmaker Ahn Do-geol said Seoul is engaged in active diplomatic negotiations with key energy producers, including Saudi Arabia, Oman and Algeria, with special envoys led by the foreign ministry among the options under consideration.",B2,5.52,False,emissary|envoi|envoy extraordinary|minister plenipotentiary
revised,revise,VERB,동사,/ɹɪˈvaɪ̯z/,the act of rewriting something,,,"The Cabinet has approved a revised law mandating Labor Day 
as an official public holiday for all workers.",B2,5.52,False,rescript|retool|revisal|revision
